id_parlamentar_parlametria,casa,nome,partido,uf
222,senado,Esperidião Amin,PP,SC
235,senado,Jader Barbalho,MDB,PA
270,senado,Renan Calheiros,MDB,AL
290,senado,José Serra,PSDB,SP
2285,senado,Marcio Bittar,MDB,AC
2345,senado,Flávio Arns,REDE,PR
2374,senado,Paulo Rocha,PT,PA
2470,senado,Chico Rodrigues,DEM,RR
2475,senado,Confúcio Moura,MDB,RO
2581,senado,Jaques Wagner,PT,BA
2677,senado,Roberto Rocha,PSDB,MA
2739,senado,Ciro Nogueira,PP,PI
2742,senado,Marcelo Castro,MDB,PI
2751,senado,Arolde de Oliveira,PSD,RJ
2825,senado,Paulo Paim,PT,RS
2945,senado,Alvaro Dias,PODEMOS,PR
21023,senado,Maria do Carmo Alves,DEM,SE
21173,senado,Wellington Fagundes,PL,MT
21186,senado,Luis Carlos Heinze,PP,RS
21249,senado,Kátia Abreu,PP,TO
22331,senado,Rose de Freitas,PODEMOS,ES
23361,senado,José Maranhão,MDB,PB
23396,senado,Tasso Jereissati,PSDB,CE
23777,senado,Eduardo Gomes,MDB,TO
23806,senado,Zequinha Marinho,PSC,PA
23830,senado,Davi Alcolumbre,DEM,AP
24525,senado,Fernando Collor,PROS,AL
24531,senado,Jayme Campos,DEM,MT
24545,senado,Jarbas Vasconcelos,MDB,PE
24560,senado,Sérgio Petecão,PSD,AC
24770,senado,Izalci Lucas,PSDB,DF
24981,senado,Acir Gurgacz,PDT,RO
24994,senado,Eduardo Braga,MDB,AM
25008,senado,Humberto Costa,PT,PE
25012,senado,Randolfe Rodrigues,REDE,AP
25236,senado,Reguffe,PODEMOS,DF
25322,senado,Romário,PODEMOS,RJ
25350,senado,Jorginho Mello,PL,SC
25352,senado,Rogério Carvalho,PT,SE
25376,senado,Mara Gabrilli,PSDB,SP
25385,senado,Irajá,PSD,TO
25411,senado,Weverton,PDT,MA
25422,senado,Marcos Rogério,DEM,RO
25502,senado,Plínio Valério,PSDB,AM
25523,senado,Otto Alencar,PSD,BA
25525,senado,Omar Aziz,PSD,AM
25527,senado,Simone Tebet,MDB,MS
25529,senado,Antonio Anastasia,PSD,MG
25531,senado,Elmano Férrer,PODEMOS,PI
25533,senado,Lasier Martins,PODEMOS,RS
25535,senado,Telmário Mota,PROS,RR
25537,senado,Dário Berger,MDB,SC
25540,senado,Fernando Bezerra Coelho,MDB,PE
25666,senado,Major Olimpio,PSL,SP
25718,senado,Eliziane Gama,CIDADANIA,MA
25732,senado,Rodrigo Pacheco,DEM,MG
25748,senado,Veneziano Vital do Rêgo,PSB,PB
25783,senado,Zenaide Maia,PROS,RN
25894,senado,Flávio Bolsonaro,REPUBLICANOS,RJ
25895,senado,Jorge Kajuru,CIDADANIA,GO
25899,senado,Vanderlan Cardoso,PSD,GO
25905,senado,Rodrigo Cunha,PSDB,AL
25924,senado,Oriovisto Guimarães,PODEMOS,PR
25926,senado,Lucas Barreto,PSD,AP
25942,senado,Marcos do Val,PODEMOS,ES
25953,senado,Fabiano Contarato,REDE,ES
25959,senado,Styvenson Valentim,PODEMOS,RN
25967,senado,Angelo Coronel,PSD,BA
25973,senado,Cid Gomes,PDT,CE
25976,senado,Eduardo Girão,PODEMOS,CE
25979,senado,Leila Barros,PSB,DF
25982,senado,Alessandro Vieira,CIDADANIA,SE
25985,senado,Nelsinho Trad,PSD,MS
25988,senado,Soraya Thronicke,PSL,MS
25990,senado,Carlos Viana,PSD,MG
25998,senado,Daniella Ribeiro,PP,PB
26027,senado,Mecias de Jesus,REPUBLICANOS,RR
26295,senado,Carlos Fávaro,PSD,MT
162881,camara,Danilo Forte,PSDB,CE
166179,camara,Norma Ayub,DEM,ES
166828,camara,Fausto Pinato,PP,SP
167138,camara,Iracema Portella,PP,PI
168720,camara,Fábio Henrique,PDT,SE
169871,camara,Bacelar,PODE,BA
172442,camara,Felipe Carreras,PSB,PE
173433,camara,Arlindo Chinaglia,PT,SP
173441,camara,Celso Russomanno,REPUBLICANOS,SP
173460,camara,Gustavo Fruet,PDT,PR
173466,camara,Rubens Bueno,CIDADANIA,PR
173482,camara,Henrique Fontana,PT,RS
173486,camara,Pompeo De Mattos,PDT,RS
173531,camara,Ivan Valente,PSOL,SP
173586,camara,Júlio Delgado,PSB,MG
173604,camara,Rui Falcão,PT,SP
173692,camara,Osmar Terra,MDB,RS
173696,camara,Angela Amin,PP,SC
173701,camara,Benedita Da Silva,PT,RJ
173772,camara,Hermes Parcianello,MDB,PR
173788,camara,Ricardo Barros,PP,PR
173801,camara,Renildo Calheiros,PCdoB,PE
173808,camara,Sérgio Brito,PSD,BA
173943,camara,Perpétua Almeida,PCdoB,AC
174043,camara,Wellington Roberto,PL,PB
174044,camara,Wilson Santiago,PTB,PB
174052,camara,Bosco Costa,PL,SE
174057,camara,Alice Portugal,PCdoB,BA
174060,camara,Daniel Almeida,PCdoB,BA
174075,camara,Elcione Barbalho,MDB,PA
174079,camara,José Priante,MDB,PA
174090,camara,Átila Lins,PP,AM
174156,camara,Leonardo Monteiro,PT,MG
174158,camara,Mário Heringer,PDT,MG
174159,camara,Odair Cunha,PT,MG
174160,camara,Patrus Ananias,PT,MG
174161,camara,Reginaldo Lopes,PT,MG
174200,camara,Gastão Vieira,PROS,MA
174262,camara,Carlos Sampaio,PSDB,SP
174270,camara,Gilberto Nascimento,PSC,SP
174273,camara,Jefferson Campos,PSB,SP
174283,camara,Vicentinho,PT,SP
174299,camara,Leônidas Cristino,PDT,CE
174317,camara,Júlio Cesar,PSD,PI
174352,camara,Nilson Pinto,PSDB,PA
174356,camara,Silas Câmara,REPUBLICANOS,AM
174366,camara,João Campos,REPUBLICANOS,GO
174371,camara,Rubens Otoni,PT,GO
174376,camara,Vander Loubet,PT,MS
