id_proposicao,interesse_slug,interesse_nome,temas_nome,temas_slug,sigla,casa,casa_origem
01e564eea52292a5487c0e39a9c0115b,agenda-nacional,Agenda Nacional,Previdência e Assistência Social,previdencia-e-assistencia-social,PEC 287/2016,camara,camara
0b012d0a22f60977b1a926fb5396df01,agenda-nacional,Agenda Nacional,Administração Pública,administracao-publica,PLS 559/2013,senado,senado
0b012d0a22f60977b1a926fb5396df01,agenda-nacional,Agenda Nacional,Administração Pública,administracao-publica,PL 6814/2017,camara,nan
0cf79d8b72ab0c346e4a307afafeec60,agenda-nacional,Agenda Nacional,Defesa e Segurança,defesa-e-seguranca,PL 3722/2012,camara,camara
118c44a111b807ee8150f8ae25d1ca50,agenda-nacional,Agenda Nacional,Administração Pública,administracao-publica,MPV 881/2019,senado,camara
118c44a111b807ee8150f8ae25d1ca50,agenda-nacional,Agenda Nacional,Direito Civil e Processual Civil,direito-civil-e-processual-civil,MPV 881/2019,senado,camara
118c44a111b807ee8150f8ae25d1ca50,agenda-nacional,Agenda Nacional,Economia,economia,MPV 881/2019,senado,camara
118c44a111b807ee8150f8ae25d1ca50,agenda-nacional,Agenda Nacional,Administração Pública,administracao-publica,MPV 881/2019,camara,camara
118c44a111b807ee8150f8ae25d1ca50,agenda-nacional,Agenda Nacional,Direito Civil e Processual Civil,direito-civil-e-processual-civil,MPV 881/2019,camara,camara
118c44a111b807ee8150f8ae25d1ca50,agenda-nacional,Agenda Nacional,Economia,economia,MPV 881/2019,camara,camara
21c535efc8fca9cf39c3a30c61a0a8f8,agenda-nacional,Agenda Nacional,Direitos Humanos e Minorias,direitos-humanos-e-minorias,PL 7180/2014,camara,camara
21c535efc8fca9cf39c3a30c61a0a8f8,agenda-nacional,Agenda Nacional,Educação,educacao,PL 7180/2014,camara,camara
33f9158161f50253d875d8466ba35599,agenda-nacional,Agenda Nacional,nan,nan,PEC 54/2019,senado,senado
365cfde7265924b5370fd5fdfc549762,agenda-nacional,Agenda Nacional,Defesa e Segurança,defesa-e-seguranca,PL 10372/2018,camara,camara
365cfde7265924b5370fd5fdfc549762,agenda-nacional,Agenda Nacional,Direito Penal e Processual Penal,direito-penal-e-processual-penal,PL 10372/2018,camara,camara
4cf2d59bceb3ed122af69546476551c9,agenda-nacional,Agenda Nacional,Administração Pública,administracao-publica,PLS 449/2016,senado,senado
4cf2d59bceb3ed122af69546476551c9,agenda-nacional,Agenda Nacional,Previdência e Assistência Social,previdencia-e-assistencia-social,PLS 449/2016,senado,senado
4cf2d59bceb3ed122af69546476551c9,agenda-nacional,Agenda Nacional,Administração Pública,administracao-publica,PL 6726/2016,camara,nan
4cf2d59bceb3ed122af69546476551c9,agenda-nacional,Agenda Nacional,Previdência e Assistência Social,previdencia-e-assistencia-social,PL 6726/2016,camara,nan
4d87343c2bed0a962ab365cadf9c3f9c,agenda-nacional,Agenda Nacional,Direito Penal e Processual Penal,direito-penal-e-processual-penal,PL 881/2019,camara,camara
4d87343c2bed0a962ab365cadf9c3f9c,agenda-nacional,Agenda Nacional,"Política, Partidos e Eleições","politica,-partidos-e-eleicoes",PL 881/2019,camara,camara
4f89264b58ac80d3dfe1c7d31549a30c,agenda-nacional,Agenda Nacional,Administração Pública,administracao-publica,PLS 229/2009,senado,senado
4f89264b58ac80d3dfe1c7d31549a30c,agenda-nacional,Agenda Nacional,Finanças Públicas e Orçamento,financas-publicas-e-orcamento,PLS 229/2009,senado,senado
4f89264b58ac80d3dfe1c7d31549a30c,agenda-nacional,Agenda Nacional,Administração Pública,administracao-publica,PLP 295/2016,camara,nan
4f89264b58ac80d3dfe1c7d31549a30c,agenda-nacional,Agenda Nacional,Finanças Públicas e Orçamento,financas-publicas-e-orcamento,PLP 295/2016,camara,nan
554bb22bbf2e508ce083115fa3621486,agenda-nacional,Agenda Nacional,Economia,economia,PEC 10/2020,camara,camara
554bb22bbf2e508ce083115fa3621486,agenda-nacional,Agenda Nacional,Finanças Públicas e Orçamento,financas-publicas-e-orcamento,PEC 10/2020,camara,camara
554bb22bbf2e508ce083115fa3621486,agenda-nacional,Agenda Nacional,Saúde,saude,PEC 10/2020,camara,camara
554bb22bbf2e508ce083115fa3621486,agenda-nacional,Agenda Nacional,Economia,economia,PEC 10/2020,senado,camara
554bb22bbf2e508ce083115fa3621486,agenda-nacional,Agenda Nacional,Finanças Públicas e Orçamento,financas-publicas-e-orcamento,PEC 10/2020,senado,camara
554bb22bbf2e508ce083115fa3621486,agenda-nacional,Agenda Nacional,Saúde,saude,PEC 10/2020,senado,camara
7c4cbac341769f758f433b3f2e0c08c9,agenda-nacional,Agenda Nacional,Defesa e Segurança,defesa-e-seguranca,PL 3723/2019,camara,camara
7c4cbac341769f758f433b3f2e0c08c9,agenda-nacional,Agenda Nacional,Defesa e Segurança,defesa-e-seguranca,PL 3723/2019,senado,camara
7e57cc47376cc09c1d4601ea04733cd9,agenda-nacional,Agenda Nacional,Direito Penal e Processual Penal,direito-penal-e-processual-penal,PLP 38/2019,camara,camara
7e57cc47376cc09c1d4601ea04733cd9,agenda-nacional,Agenda Nacional,"Política, Partidos e Eleições","politica,-partidos-e-eleicoes",PLP 38/2019,camara,camara
8023a643cd263b9ef8a530ae4a2990d7,agenda-nacional,Agenda Nacional,Administração Pública,administracao-publica,MPV 870/2019,senado,camara
8023a643cd263b9ef8a530ae4a2990d7,agenda-nacional,Agenda Nacional,Administração Pública,administracao-publica,MPV 870/2019,camara,camara
