username,nome,id_parlamentar,casa,source,classificacao
abiliosantana_,ABÍLIO SANTANA,204554,câmara,perfil_parlamentar,deputadosfederais
abouannipv,ABOU ANNI,204521,câmara,perfil_parlamentar,deputadosfederais
acaciofavacho,ACÁCIO FAVACHO,204379,câmara,perfil_parlamentar,deputadosfederais
adolfoviana_,ADOLFO VIANA,204560,câmara,perfil_parlamentar,deputadosfederais
adrianasounovo,ADRIANA VENTURA,204528,câmara,perfil_parlamentar,deputadosfederais
adrianobaldy,ADRIANO DO BALDY,121948,câmara,perfil_parlamentar,deputadosfederais
aecioneves,AÉCIO NEVES,74646,câmara,perfil_parlamentar,deputadosfederais
afonsoflorence,AFONSO FLORENCE,160508,câmara,perfil_parlamentar,deputadosfederais
depafonsohamm,AFONSO HAMM,136811,câmara,perfil_parlamentar,deputadosfederais
afonso_motta,AFONSO MOTTA,178835,câmara,perfil_parlamentar,deputadosfederais
depaguinaldo11,AGUINALDO RIBEIRO,160527,câmara,perfil_parlamentar,deputadosfederais
faleiroairton,AIRTON FALEIRO,204495,câmara,perfil_parlamentar,deputadosfederais
alan_rick,ALAN RICK,178836,câmara,perfil_parlamentar,deputadosfederais
alceu_moreira,ALCEU MOREIRA,160559,câmara,perfil_parlamentar,deputadosfederais
oficialalesilva,ALÊ SILVA,204545,câmara,perfil_parlamentar,deputadosfederais
alencarbraga13,ALENCAR SANTANA BRAGA,204501,câmara,perfil_parlamentar,deputadosfederais
alessandromolon,ALESSANDRO MOLON,160511,câmara,perfil_parlamentar,deputadosfederais
alexmanentepps,ALEX MANENTE,178972,câmara,perfil_parlamentar,deputadosfederais
depalexsantana,ALEX SANTANA,204571,câmara,perfil_parlamentar,deputadosfederais
alefrotabrasil,ALEXANDRE FROTA,204544,câmara,perfil_parlamentar,deputadosfederais
lexandreleite,ALEXANDRE LEITE,160545,câmara,perfil_parlamentar,deputadosfederais
padilhando,ALEXANDRE PADILHA,204503,câmara,perfil_parlamentar,deputadosfederais
aleserfiotis,ALEXANDRE SERFIOTIS,178833,câmara,perfil_parlamentar,deputadosfederais
alexisfonteyne,ALEXIS FONTEYNE,204516,câmara,perfil_parlamentar,deputadosfederais
alice_portugal,ALICE PORTUGAL,74057,câmara,perfil_parlamentar,deputadosfederais
alielmachado,ALIEL MACHADO,178927,câmara,perfil_parlamentar,deputadosfederais
alinegurgel1000,ALINE GURGEL,204353,câmara,perfil_parlamentar,deputadosfederais
alinesleutjes,ALINE SLEUTJES,204400,câmara,perfil_parlamentar,deputadosfederais
altineu,ALTINEU CÔRTES,178937,câmara,perfil_parlamentar,deputadosfederais
aluisiomendesma,ALUISIO MENDES,178881,câmara,perfil_parlamentar,deputadosfederais
amaronetotv,AMARO NETO,204356,câmara,perfil_parlamentar,deputadosfederais
dep_andreabdon,ANDRÉ ABDON,178831,câmara,perfil_parlamentar,deputadosfederais
aferreira2020,ANDRÉ FERREIRA,204423,câmara,perfil_parlamentar,deputadosfederais
andrepdt12,ANDRÉ FIGUEIREDO,133439,câmara,perfil_parlamentar,deputadosfederais
depandrefufuca,ANDRÉ FUFUCA,178882,câmara,perfil_parlamentar,deputadosfederais
andrejanonesadv,ANDRÉ JANONES,204515,câmara,perfil_parlamentar,deputadosfederais
angelaamin11,ANGELA AMIN,73696,câmara,perfil_parlamentar,deputadosfederais
antoniobritoba,ANTONIO BRITO,160553,câmara,perfil_parlamentar,deputadosfederais
achinaglia,ARLINDO CHINAGLIA,73433,câmara,perfil_parlamentar,deputadosfederais
arnaldojardim,ARNALDO JARDIM,141391,câmara,perfil_parlamentar,deputadosfederais
aroldomartins,AROLDO MARTINS,204414,câmara,perfil_parlamentar,deputadosfederais
arthurlira_,ARTHUR LIRA,160541,câmara,perfil_parlamentar,deputadosfederais
departhurmaia,ARTHUR OLIVEIRA MAIA,160600,câmara,perfil_parlamentar,deputadosfederais
assis_carvalho,ASSIS CARVALHO,159237,câmara,perfil_parlamentar,deputadosfederais
deputadoatila,ÁTILA LIRA,74459,câmara,perfil_parlamentar,deputadosfederais
dep_acoutinho,AUGUSTO COUTINHO,160665,câmara,perfil_parlamentar,deputadosfederais
aureacarolinax,ÁUREA CAROLINA,204509,câmara,perfil_parlamentar,deputadosfederais
aureoribeirorj,AUREO RIBEIRO,160512,câmara,perfil_parlamentar,deputadosfederais
deputadobacelar,BACELAR,69871,câmara,perfil_parlamentar,deputadosfederais
baleia_rossi,BALEIA ROSSI,178975,câmara,perfil_parlamentar,deputadosfederais
dasilvabenedita,BENEDITA DA SILVA,73701,câmara,perfil_parlamentar,deputadosfederais
betofaropt,BETO FARO,141335,câmara,perfil_parlamentar,deputadosfederais
betopereirams,BETO PEREIRA,204358,câmara,perfil_parlamentar,deputadosfederais
betorosado,BETO ROSADO,178948,câmara,perfil_parlamentar,deputadosfederais
biacavassa,BIA CAVASSA,207176,câmara,perfil_parlamentar,deputadosfederais
biakicis,BIA KICIS,204374,câmara,perfil_parlamentar,deputadosfederais
bibonunes1,BIBO NUNES,204388,câmara,perfil_parlamentar,deputadosfederais
bilac_pinto,BILAC PINTO,141513,câmara,perfil_parlamentar,deputadosfederais
biradopindare,BIRA DO PINDARÉ,204561,câmara,perfil_parlamentar,deputadosfederais
bocaabertaof,BOCA ABERTA,204397,câmara,perfil_parlamentar,deputadosfederais
bohngass,BOHN GASS,160538,câmara,perfil_parlamentar,deputadosfederais
boscocosta1234,BOSCO COSTA,74052,câmara,perfil_parlamentar,deputadosfederais
boscosaraiva,BOSCO SARAIVA,204551,câmara,perfil_parlamentar,deputadosfederais
depbrunafurlan,BRUNA FURLAN,160589,câmara,perfil_parlamentar,deputadosfederais
cabojunioamaral,CABO JUNIO AMARAL,204520,câmara,perfil_parlamentar,deputadosfederais
cacaleao,CACÁ LEÃO,93083,câmara,perfil_parlamentar,deputadosfederais
depcaetano,CAETANO,178853,câmara,perfil_parlamentar,deputadosfederais
camilopsb,CAMILO CAPIBERIBE,204352,câmara,perfil_parlamentar,deputadosfederais
